objectid,facil_id,instit_id,facil_name,facil_addr,grade_leve,grade_org,facil_tele,zipcode,tencode,st_code,facil_type,instit_typ,enrollment,active,cartodb_id,created_at,updated_at,longitude_0,latitude_0,geojson
23,2260,226,"Childs, George W.",1599 Wharton St.,Elementary School,K-4,952-6213,19146 - 4716,8810001235,88100,School,District,430,O,156,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1704388646488,39.9348749061488,"{""type"":""Point"",""coordinates"":[-75.17044,39.93487]}"
24,2640,264,Southwark,1835 S. 9th St.,Elementary School,K-8,952-8606,19148 - 1661,8798001821,87980,School,District,534,O,157,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1598888541872,39.9259124419563,"{""type"":""Point"",""coordinates"":[-75.15989,39.92591]}"
25,1130,113,"Tilden, William",6601 Elmwood Ave,Middle School,5-8,492-6454,19142,3148006601,31480,School,District,1050,O,158,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2324513589304,39.9214702818956,"{""type"":""Point"",""coordinates"":[-75.23245,39.92147]}"
26,2520,252,"Jenks, Abram",2501 S 13th St.,Elementary School,K-4,952-6224,19148 - 4305,5734001245,57340,School,District,402,O,159,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1683451835165,39.9188770417815,"{""type"":""Point"",""coordinates"":[-75.16835,39.91888]}"
27,6050,605,Girls High School,1400 West  Olney Ave.,High School,9-12,276-5258,19141,1914005500,19140,School,District,1196,O,160,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1460673985914,40.0382999367438,"{""type"":""Point"",""coordinates"":[-75.14607,40.0383]}"
28,8400,840,"Frank, Anne",2000 Bowler St.,Elementary School,K-5,961-2005,19115 - 3319,5174002001,51740,School,District,907,O,161,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0284307584439,40.0879270511399,"{""type"":""Point"",""coordinates"":[-75.02843,40.08793]}"
29,7490,749,Prince Hall,6101-67 N Gratz,Elementary School,K-5,276-5255,19141 - 1401,3818006101,38180,School,District,546,O,162,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1493373600081,40.0476906172571,"{""type"":""Point"",""coordinates"":[-75.14934,40.04769]}"
30,8210,821,"Brown, Joseph H.",3600 Stanwood St.,Elementary School,K-5,335-5650,19136 - 2357,7438003600,74380,School,District,491,O,163,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0247443191284,40.0433593187807,"{""type"":""Point"",""coordinates"":[-75.02474,40.04336]}"
31,7280,728,"Franklin, Benjamin (EL)",5735 Rising Sun Ave.,Elementary School,K-8,728-5017,19120 - 1629,6860005741,68600,School,District,1174,O,164,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1040150163216,40.0422862084202,"{""type"":""Point"",""coordinates"":[-75.10402,40.04229]}"
32,6340,634,"Pennell, Joseph",1800 Nedro Aves.,Elementary School,K-5,276-5267,19141 - 1324,5918001800,59180,School,District,420,O,165,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1509179235655,40.043276743039,"{""type"":""Point"",""coordinates"":[-75.15092,40.04328]}"
33,6010,601,Central,1700 W Olney Ave.,High School,9-12,276-5262,19141 - 1105,6136001700,61360,School,District,2315,O,166,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1502555130189,40.0374210848093,"{""type"":""Point"",""coordinates"":[-75.15026,40.03742]}"
34,6430,643,"Wister, John",67 E. Bringhurst St.,Elementary School,K-6,951-4003,19144 - 2338,1900000067,19000,School,District,479,O,167,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1670906434665,40.0333902464715,"{""type"":""Point"",""coordinates"":[-75.16709,40.03339]}"
295,W20,W20,Imani Education Circle Charter School,"5612 Greene Street, 2nd Floor",Elementary School,K-8,215-713-9240,19144,2258000122,22580,School,Charter,466,O,168,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.176332743284,40.0336319313563,"{""type"":""Point"",""coordinates"":[-75.17633,40.03363]}"
296,W14,W14,West Oak Lane Charter School,7115 Stenton Avenue,Elementary School,K-8,215-927-7995,19138,7466007115,74660,School,Charter,662,O,169,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1635492437923,40.0594430849077,"{""type"":""Point"",""coordinates"":[-75.16355,40.05944]}"
297,W60,W60,Russell Byers Charter School,1911 Arch Street,Elementary School,K-6,215-972-1700,19103,1300001911,13000,School,Charter,344,O,170,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1716514944379,39.9557248581564,"{""type"":""Point"",""coordinates"":[-75.17165,39.95572]}"
298,W39,W39,Wakisha Charter School,1209 Vine Street,Middle School,6-8,267-256-0950,19107,8012001209,80120,School,Charter,381,O,171,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1590187043559,39.9578819652911,"{""type"":""Point"",""coordinates"":[-75.15902,39.95788]}"
299,W33,W33,Nueva Esperanza Academy Charter School,301 W. Hunting Park Avenue,High School,9-12,215-457-3667,19140,4404000301,44040,School,Charter,563,O,172,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1329065624779,40.0150003684359,"{""type"":""Point"",""coordinates"":[-75.13291,40.015]}"
300,W07,W07,Eugenio Maria DeHostos Community Bilingual Charter,4322 N 05th St,Elem/Middle,K-3 & 8,215-455-2300,19140,8789004322,87890,School,Charter,209,O,173,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1349717524935,40.0174442105657,"{""type"":""Point"",""coordinates"":[-75.13497,40.01744]}"
301,W08,W08,Belmont Academy Charter School,907 North 41st Street,Elementary School,K-4,215-386-5768,19104,8252004025,82520,School,Charter,185,O,174,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2055491939811,39.9707241769725,"{""type"":""Point"",""coordinates"":[-75.20555,39.97072]}"
302,W28,W28,"Math, Science and Technology Community Charter School",1800 E. Byberry Road,Elem/Mid/High,K-12,267-348-1100,19116,2016001800,20160,School,Charter,1138,O,175,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0062147771301,40.1135399560825,"{""type"":""Point"",""coordinates"":[-75.00621,40.11354]}"
303,W22B,W22,Philadelphia Academy Charter School,1700 Tomlinson Rd,High School,9-12,215-673-3990,19116,7754001700,77540,School,Charter,0,O,176,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0171139674662,40.1048668655784,"{""type"":""Point"",""coordinates"":[-75.01711,40.10487]}"
304,W97,W97,Eastern University Academy Charter School,"3300 Henry Ave., Ann Preston Hall",Middle/HIgh,7-9,267-440-3512,19129,,0,School,Charter,102,O,177,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1854413766222,40.0113878013244,"{""type"":""Point"",""coordinates"":[-75.18544,40.01139]}"
305,W12,W12,Multi-Cultural Academy Charter School,3821-33 N Broad St,High School,9-12,215-227-0513,19140,1914003833,19140,School,Charter,188,O,178,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1501521229511,40.0114268845507,"{""type"":""Point"",""coordinates"":[-75.15015,40.01143]}"
306,W70,W70,KIPP Philadelphia Charter School,2709 N Broad St,Middle School,5-8,215-227-1728,19132,1914002709,19140,School,Charter,145,O,179,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.153773746962,39.9943750172426,"{""type"":""Point"",""coordinates"":[-75.15377,39.99438]}"
307,3383,W83,Mastery Charter School at Shoemaker,5301 Media St,Middle School,7-10,267-296-7111,19131,8884001464,88840,School,Charter,316,O,180,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2284685899183,39.9760585078358,"{""type"":""Point"",""coordinates"":[-75.22847,39.97606]}"
308,W41,W41,Independence Charter School,500-12 S 16th St.,Elementary School,K-8,215-238-8000,19146,8810000500,88100,School,Charter,732,O,181,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1691492223577,39.9448601150993,"{""type"":""Point"",""coordinates"":[-75.16915,39.94486]}"
309,W10,W10,Laboratory Charter Sch of Communications and Lang,800 N Orianna St,Elementary School,K-8,215-574-1680,19123,8787000801,87870,School,Charter,0,O,182,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1439280923627,39.9638509827112,"{""type"":""Point"",""coordinates"":[-75.14393,39.96385]}"
310,W09,W09,Imhotep Charter School,2101 W. Godfrey Avenue,High School,9-12,215-438-4140,19138,3750002103,37500,School,Charter,517,O,183,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1548263909525,40.0492639402766,"{""type"":""Point"",""coordinates"":[-75.15483,40.04926]}"
311,W79,W79,Ad Prima Charter School,3560 Frankford Ave,Elementary School,K-6,215-452-5580,19134,3496003560,34960,School,Charter,0,O,184,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1018670099203,39.9981826563922,"{""type"":""Point"",""coordinates"":[-75.10187,39.99818]}"
