RACK_TYPE,BIKE_COUNT,LAT,LNG
Staple or Inverted-U,2.0,39.9563347719,-75.1692787629
Wave,29.0,39.9560176112,-75.1699103575
Staple or Inverted-U,2.0,39.9525772225,-75.1656579122
Staple or Inverted-U,2.0,39.9501675107,-75.1727233729
Staple or Inverted-U,2.0,39.9498687807,-75.1727966519
Staple or Inverted-U,2.0,39.9493472645,-75.1729279407
Staple or Inverted-U,2.0,39.9456737634,-75.1652001846
Staple or Inverted-U,2.0,39.9470294512,-75.1654831288
School Yard,6.0,39.9473894209,-75.1677057253
Staple or Inverted-U,2.0,39.9472936733,-75.1681120189
Staple or Inverted-U,2.0,39.9437687669,-75.1656133365
Staple or Inverted-U,2.0,39.9441385309,-75.1655187464
Staple or Inverted-U,2.0,39.9443434412,-75.1713925575
Converted Parking Meter,2.0,39.9444290505,-75.1713831153
Staple or Inverted-U,2.0,39.951125679,-75.1657749135
Staple or Inverted-U,2.0,39.951144717,-75.1659321622
Staple or Inverted-U,2.0,39.9507867816,-75.1640655879
Staple or Inverted-U,2.0,39.950671748,-75.1640916473
Staple or Inverted-U,2.0,39.950363252,-75.1641544971
Staple or Inverted-U,6.0,39.9514875836,-75.1684198751
Converted Parking Meter,2.0,39.9514992004,-75.1685123609
Converted Parking Meter,2.0,39.9515052878,-75.1685709829
Staple or Inverted-U,2.0,39.9515166258,-75.1686510872
Staple or Inverted-U,2.0,39.9516269599,-75.1686809694
Staple or Inverted-U,6.0,39.9514175752,-75.1685929004
Street Corral,12.0,39.9529962975,-75.1592932576
Staple or Inverted-U,2.0,39.9527917378,-75.1576779118
Converted Parking Meter,2.0,39.9525412059,-75.1557173987
School Yard,10.0,39.9524729894,-75.1545986732
Converted Parking Meter,2.0,39.9524291324,-75.1547676194
Converted Parking Meter,2.0,39.9523746322,-75.1544661372
Staple or Inverted-U,2.0,39.9553546544,-75.1548912993
Staple or Inverted-U,2.0,39.9555540048,-75.1563272302
Staple or Inverted-U,2.0,39.9556772789,-75.1571403272
Staple or Inverted-U,2.0,39.9559272833,-75.1593425802
Wave,6.0,39.9560876395,-75.1625395439
School Yard,10.0,39.9490770962,-75.1642065387
School Yard,10.0,39.9485010836,-75.1643523552
Staple or Inverted-U,2.0,39.9483634223,-75.1643792754
Staple or Inverted-U,2.0,39.9436166376,-75.1653155974
Staple or Inverted-U,2.0,39.9436081665,-75.1652570742
Converted Parking Meter,2.0,39.9435553195,-75.1648161876
Converted Parking Meter,2.0,39.9435355771,-75.1646806627
Converted Parking Meter,2.0,39.943247433,-75.1623687498
Staple or Inverted-U,2.0,39.9432242584,-75.1621868988
Converted Parking Meter,2.0,39.9432034656,-75.1620049583
Converted Parking Meter,2.0,39.9429136602,-75.1596218951
Converted Parking Meter,2.0,39.9428140975,-75.1584859381
Converted Parking Meter,2.0,39.9427995313,-75.1583688016
Staple or Inverted-U,2.0,39.9427552025,-75.157989543
Staple or Inverted-U,2.0,39.942746378,-75.1579155481
Converted Parking Meter,2.0,39.9427432267,-75.1578815999
Staple or Inverted-U,2.0,39.942732021,-75.1578076948
Street Corral,12.0,39.9426832022,-75.1575462998
Converted Parking Meter,0.0,39.9426094547,-75.1569203932
Converted Parking Meter,2.0,39.9425523743,-75.1563991539
Staple or Inverted-U,2.0,39.9417350754,-75.1573656718
Staple or Inverted-U,2.0,39.9417485235,-75.1574332957
Staple or Inverted-U,2.0,39.9418948909,-75.1586355849
Street Corral,10.0,39.9499042102,-75.1634084391
Converted Parking Meter,2.0,39.9526710218,-75.1579272277
Converted Parking Meter,2.0,39.952657718,-75.157760465
Converted Parking Meter,2.0,39.9526443208,-75.1575895757
Converted Parking Meter,2.0,39.9526261126,-75.1574168047
Converted Parking Meter,2.0,39.9526192501,-75.1573241387
Converted Parking Meter,2.0,39.9526014612,-75.1571699375
Converted Parking Meter,2.0,39.9525738651,-75.1570037206
Converted Parking Meter,2.0,39.9492855852,-75.1569941077
Converted Parking Meter,2.0,39.949597371,-75.1593982296
Converted Parking Meter,0.0,39.9501066397,-75.1637958217
Converted Parking Meter,2.0,39.9501139156,-75.1639070538
Staple or Inverted-U,0.0,39.9504752672,-75.1638623264
Converted Parking Meter,2.0,39.9499779354,-75.1695928302
Converted Parking Meter,2.0,39.9499966215,-75.169787623
Staple or Inverted-U,2.0,39.9500102712,-75.1698645414
Staple or Inverted-U,2.0,39.9500084604,-75.1707380956
Staple or Inverted-U,2.0,39.9499323785,-75.1707471789
Staple or Inverted-U,2.0,39.9496525661,-75.1708135542
Staple or Inverted-U,2.0,39.9495433468,-75.1708331869
Staple or Inverted-U,2.0,39.9475389892,-75.1712811278
Converted Parking Meter,2.0,39.9488122951,-75.1695975513
Converted Parking Meter,2.0,39.9488704447,-75.1700630534
Converted Parking Meter,0.0,39.948976177,-75.1704183394
Staple or Inverted-U,2.0,39.9484373221,-75.1677657426
Wave,6.0,39.9482495723,-75.168321115
Staple or Inverted-U,2.0,39.949405243,-75.1650155976
Converted Parking Meter,2.0,39.9495263523,-75.1658411074
Staple or Inverted-U,2.0,39.9494473202,-75.165930841
Converted Parking Meter,2.0,39.9503001675,-75.172155322
Staple or Inverted-U,2.0,39.9502614823,-75.1718129697
Staple or Inverted-U,2.0,39.9441097627,-75.1694292325
Staple or Inverted-U,2.0,39.9441786297,-75.1694173251
Converted Parking Meter,0.0,39.9489948528,-75.1706127682
Converted Parking Meter,2.0,39.9440604975,-75.169040856
Staple or Inverted-U,2.0,39.9440515418,-75.1689606688
Staple or Inverted-U,2.0,39.9438139419,-75.1670897002
Staple or Inverted-U,2.0,39.9437817479,-75.1668245659
Converted Parking Meter,2.0,39.9437700592,-75.1667289974
Staple or Inverted-U,2.0,39.9437387017,-75.1658660744
Staple or Inverted-U,2.0,39.9437606735,-75.1661006255
Staple or Inverted-U,2.0,39.9437998062,-75.1663562035
Staple or Inverted-U,2.0,39.9439501158,-75.1672084127
Staple or Inverted-U,2.0,39.9452179701,-75.1699446529
Staple or Inverted-U,2.0,39.9520050743,-75.1718545022
Staple or Inverted-U,4.0,39.9519339302,-75.1718711404
Converted Parking Meter,2.0,39.9518387741,-75.1715618992
Staple or Inverted-U,2.0,39.951775666,-75.1710346127
Staple or Inverted-U,2.0,39.9515098431,-75.1693379596
Staple or Inverted-U,6.0,39.9514702306,-75.1690606865
Converted Parking Meter,2.0,39.9504523355,-75.168956865
Staple or Inverted-U,2.0,39.9502471194,-75.1705908366
Staple or Inverted-U,2.0,39.9516486541,-75.1705809974
Staple or Inverted-U,2.0,39.9516814122,-75.1707656072
Staple or Inverted-U,2.0,39.9517113542,-75.1710370537
Staple or Inverted-U,2.0,39.9517533282,-75.1714195563
Staple or Inverted-U,2.0,39.9462743533,-75.1698518887
Staple or Inverted-U,2.0,39.9476790805,-75.169560054
Staple or Inverted-U,2.0,39.9475781948,-75.1680430817
Converted Parking Meter,2.0,39.9479173434,-75.1679651496
Staple or Inverted-U,2.0,39.9475928472,-75.1679527019
Staple or Inverted-U,0.0,39.9477648828,-75.1663819929
Staple or Inverted-U,2.0,39.9485187255,-75.1666166091
Staple or Inverted-U,2.0,39.9484641387,-75.1667332883
School Yard,18.0,39.9477041092,-75.1647426993
Staple or Inverted-U,2.0,39.9482971921,-75.1648254455
Staple or Inverted-U,2.0,39.9483069179,-75.1649396791
Staple or Inverted-U,2.0,39.9483218968,-75.1650753949
Staple or Inverted-U,2.0,39.9483590681,-75.1653496496
Staple or Inverted-U,2.0,39.9493404133,-75.1659472971
Street Corral,14.0,39.9494709079,-75.1667664357
Converted Parking Meter,2.0,39.9495978823,-75.166476643
Converted Parking Meter,2.0,39.9495560899,-75.1662087537
Staple or Inverted-U,2.0,39.9491984203,-75.167687441
Converted Parking Meter,2.0,39.9493383957,-75.1676573416
Staple or Inverted-U,12.0,39.9517769034,-75.17942736
Staple or Inverted-U,2.0,39.9521377307,-75.1782954911
Converted Parking Meter,2.0,39.9526969026,-75.1783548643
Converted Parking Meter,2.0,39.9529478672,-75.1804052651
Staple or Inverted-U,2.0,39.95404032,-75.1765901591
Converted Parking Meter,2.0,39.954038376,-75.1765034992
Converted Parking Meter,2.0,39.9540221404,-75.1764173795
Staple or Inverted-U,2.0,39.9540148767,-75.1763061397
Converted Parking Meter,2.0,39.9540029885,-75.1762012707
Converted Parking Meter,2.0,39.9538834809,-75.1754437778
Converted Parking Meter,2.0,39.9538718003,-75.1753481936
Converted Parking Meter,2.0,39.9538681679,-75.1752925738
Staple or Inverted-U,2.0,39.9539393204,-75.176452812
Converted Parking Meter,2.0,39.9538616967,-75.1757556866
Converted Parking Meter,2.0,39.9526422829,-75.1779330219
Converted Parking Meter,2.0,39.9526444091,-75.1778152332
Converted Parking Meter,2.0,39.95263687,-75.1776916148
Staple or Inverted-U,2.0,39.9525525084,-75.1777567604
Staple or Inverted-U,2.0,39.9525334977,-75.177546845
Staple or Inverted-U,2.0,39.9528219579,-75.1770155287
Staple or Inverted-U,2.0,39.9527028623,-75.1770200386
Converted Parking Meter,2.0,39.9531822039,-75.1769213489
Converted Parking Meter,2.0,39.9530685657,-75.176956629
Staple or Inverted-U,2.0,39.9533359385,-75.1767606462
Converted Parking Meter,2.0,39.9511895031,-75.1784216663
Converted Parking Meter,2.0,39.9514593228,-75.1772715656
Converted Parking Meter,2.0,39.951646614,-75.1760621716
Staple or Inverted-U,2.0,39.9523511529,-75.176119116
Staple or Inverted-U,2.0,39.9523016523,-75.1756129908
Converted Parking Meter,2.0,39.9517053626,-75.1754930957
Converted Parking Meter,2.0,39.9524125273,-75.1760920113
Staple or Inverted-U,2.0,39.9531998322,-75.1752691987
Converted Parking Meter,2.0,39.9517978396,-75.1754710065
Converted Parking Meter,2.0,39.9525665222,-75.1753055871
Staple or Inverted-U,2.0,39.952884464,-75.1732212482
Staple or Inverted-U,2.0,39.9527204,-75.1739832821
Converted Parking Meter,2.0,39.9524041162,-75.1734872706
Staple or Inverted-U,2.0,39.9522715635,-75.1735294677
Staple or Inverted-U,2.0,39.9521421386,-75.1737109366
Converted Parking Meter,2.0,39.9521590712,-75.1738280021
Converted Parking Meter,2.0,39.9522070509,-75.174266037
Converted Parking Meter,2.0,39.9522189409,-75.1743709041
Staple or Inverted-U,2.0,39.9522170953,-75.1745010715
Staple or Inverted-U,2.0,39.9522839881,-75.1749321948
Converted Parking Meter,2.0,39.9523063783,-75.1750800304
Staple or Inverted-U,2.0,39.9523193798,-75.175234415
Staple or Inverted-U,2.0,39.9522381166,-75.1752251046
School Yard,15.0,39.9521426022,-75.1750057001
Converted Parking Meter,2.0,39.9521873426,-75.1747685895
Staple or Inverted-U,2.0,39.9521698551,-75.1746267639
Staple or Inverted-U,2.0,39.9521182254,-75.1742384291
Staple or Inverted-U,2.0,39.9520692355,-75.1739677009
Staple or Inverted-U,0.0,39.952054008,-75.1737142782
Staple or Inverted-U,2.0,39.9520841253,-75.1733569175
Converted Parking Meter,2.0,39.9520615939,-75.1732028939
Converted Parking Meter,2.0,39.9520495638,-75.1730918383
Converted Parking Meter,2.0,39.9520380889,-75.1730055412
Converted Parking Meter,2.0,39.9519745621,-75.172512342
Converted Parking Meter,2.0,39.9519577673,-75.1724014674
Converted Parking Meter,2.0,39.9519506387,-75.1722964204
Staple or Inverted-U,2.0,39.9519388859,-75.1721977443
Converted Parking Meter,2.0,39.9519264366,-75.1720681196
Street Corral,12.0,39.9518963237,-75.1720011165
School Yard,10.0,39.9519324149,-75.1731830121
Staple or Inverted-U,2.0,39.951889509,-75.1725465435
Staple or Inverted-U,2.0,39.9518676719,-75.1724234704
Converted Parking Meter,2.0,39.9512950173,-75.175566704
Converted Parking Meter,2.0,39.9509726048,-75.1756470654
Converted Parking Meter,2.0,39.9515197169,-75.1752252065
Converted Parking Meter,2.0,39.9514807181,-75.1749215765
Converted Parking Meter,2.0,39.9514307063,-75.1744991116
Converted Parking Meter,2.0,39.951482878,-75.1736375682
Staple or Inverted-U,2.0,39.9519882785,-75.1735316738
Converted Parking Meter,2.0,39.9518850825,-75.1735541721
Converted Parking Meter,2.0,39.9511847064,-75.1725683254
Converted Parking Meter,2.0,39.9538558836,-75.1673360575
Converted Parking Meter,2.0,39.9538495865,-75.167268148
Staple or Inverted-U,2.0,39.9538334835,-75.1671882222
Converted Parking Meter,4.0,39.9538218648,-75.1670957347
Staple or Inverted-U,2.0,39.953815011,-75.167003065
Staple or Inverted-U,2.0,39.9537947011,-75.1669480796
Staple or Inverted-U,2.0,39.9537928891,-75.1668676095
Staple or Inverted-U,2.0,39.9537234567,-75.1663250651
Staple or Inverted-U,4.0,39.9537123958,-75.1662573369
Staple or Inverted-U,4.0,39.9546300334,-75.1644505672
Staple or Inverted-U,16.0,39.9544208445,-75.1644771137
Converted Parking Meter,2.0,39.9544571812,-75.1639739071
Staple or Inverted-U,4.0,39.9547467899,-75.1654002121
Staple or Inverted-U,40.0,39.9548361189,-75.1659791807
Staple or Inverted-U,2.0,39.9547884094,-75.1666129238
Staple or Inverted-U,8.0,39.9549250019,-75.1667502235
Staple or Inverted-U,4.0,39.9548145839,-75.1679873025
Converted Parking Meter,2.0,39.9547103373,-75.1680160459
Converted Parking Meter,2.0,39.9546011873,-75.1680387798
Staple or Inverted-U,2.0,39.9556566981,-75.165154953
Converted Parking Meter,2.0,39.9560868851,-75.1660493257
Staple or Inverted-U,4.0,39.956577228,-75.1651694954
Staple or Inverted-U,4.0,39.9566102737,-75.1653664962
Staple or Inverted-U,2.0,39.9566504539,-75.1656685494
Staple or Inverted-U,2.0,39.9510181614,-75.1530186381
Staple or Inverted-U,2.0,39.9508982444,-75.1525055071
Staple or Inverted-U,2.0,39.9508543046,-75.1523189838
Staple or Inverted-U,2.0,39.9508609452,-75.1522462123
Staple or Inverted-U,2.0,39.9508573741,-75.1521987721
Staple or Inverted-U,2.0,39.9508562242,-75.1521479952
Staple or Inverted-U,2.0,39.9508492786,-75.1520985206
Staple or Inverted-U,2.0,39.9508553898,-75.151853914
Staple or Inverted-U,2.0,39.9507681479,-75.1512722696
Staple or Inverted-U,2.0,39.9505759564,-75.149912956
Staple or Inverted-U,2.0,39.9505562937,-75.1498127989
Staple or Inverted-U,2.0,39.9505562501,-75.1496571252
Staple or Inverted-U,2.0,39.9505078801,-75.1493206221
Staple or Inverted-U,2.0,39.9504885504,-75.1492554006
Staple or Inverted-U,2.0,39.9504742258,-75.1491978887
Converted Parking Meter,2.0,39.9505188325,-75.1481158149
Converted Parking Meter,1.0,39.9504845616,-75.1479089151
Converted Parking Meter,2.0,39.9503728975,-75.1480375499
Converted Parking Meter,2.0,39.9503501026,-75.1478445873
Staple or Inverted-U,2.0,39.9501985619,-75.1463175461
Staple or Inverted-U,2.0,39.9501682478,-75.1460846144
Converted Parking Meter,2.0,39.9501010112,-75.1454764095
Converted Parking Meter,2.0,39.950031855,-75.1449713645
Converted Parking Meter,2.0,39.9500161141,-75.1448654702
Converted Parking Meter,2.0,39.9500231893,-75.1447644785
Converted Parking Meter,2.0,39.9499936947,-75.1446349647
Converted Parking Meter,2.0,39.9494618002,-75.1422504655
Staple or Inverted-U,2.0,39.9483392848,-75.1425635788
Staple or Inverted-U,0.0,39.9483842256,-75.142339099
Staple or Inverted-U,2.0,39.948343188,-75.1423683674
Staple or Inverted-U,2.0,39.948287602,-75.1427758855
Converted Parking Meter,2.0,39.9482947255,-75.1430695653
Converted Parking Meter,2.0,39.9481793672,-75.1429288896
Converted Parking Meter,2.0,39.948343655,-75.1434027871
Converted Parking Meter,2.0,39.9482023398,-75.1432058219
Converted Parking Meter,2.0,39.9482282603,-75.1433649652
Converted Parking Meter,2.0,39.9484228342,-75.1436374522
Converted Parking Meter,2.0,39.948434822,-75.1437122682
Converted Parking Meter,2.0,39.9482881465,-75.1436040178
Converted Parking Meter,2.0,39.9483014125,-75.1437669305
Staple or Inverted-U,2.0,39.9484263255,-75.1438086013
Converted Parking Meter,2.0,39.9484035458,-75.1438814892
Staple or Inverted-U,2.0,39.9483155849,-75.143845781
Staple or Inverted-U,2.0,39.9484236372,-75.143958564
Staple or Inverted-U,2.0,39.948429106,-75.1440156565
Staple or Inverted-U,2.0,39.9484465496,-75.1442993533
Converted Parking Meter,2.0,39.9484758433,-75.1444345168
Converted Parking Meter,2.0,39.9484774274,-75.1445304762
Staple or Inverted-U,2.0,39.9485018473,-75.1446085243
Staple or Inverted-U,2.0,39.9485521347,-75.1448475629
Converted Parking Meter,2.0,39.9485866181,-75.1449884995
Converted Parking Meter,2.0,39.948581521,-75.1450903087
Converted Parking Meter,2.0,39.9486455603,-75.1454814727
Converted Parking Meter,2.0,39.9486443324,-75.1455724372
Converted Parking Meter,2.0,39.9486721188,-75.1457810165
Converted Parking Meter,2.0,39.9487269861,-75.146233988
Converted Parking Meter,2.0,39.9487676642,-75.1464303085
Converted Parking Meter,2.0,39.9488047353,-75.1465764948
School Yard,18.0,39.9559012118,-75.1662732281
Staple or Inverted-U,4.0,39.9552177339,-75.1664107364
School Yard,8.0,39.956208455,-75.1676369477
School Yard,36.0,39.9572787256,-75.1690088651
Staple or Inverted-U,2.0,39.9579622076,-75.1688713787
Converted Parking Meter,2.0,39.9572004415,-75.1676488079
Converted Parking Meter,2.0,39.9570583627,-75.1676913816
Converted Parking Meter,2.0,39.9568044617,-75.1678497249
Converted Parking Meter,2.0,39.9568184474,-75.1680474517
Staple or Inverted-U,2.0,39.9569877149,-75.1679418897
Converted Parking Meter,2.0,39.9568234626,-75.1682703009
Staple or Inverted-U,4.0,39.9584011987,-75.1676155592
Staple or Inverted-U,4.0,39.9584826608,-75.1682692087
Staple or Inverted-U,2.0,39.959197882,-75.1706026204
Converted Parking Meter,2.0,39.9592205561,-75.1707628501
Staple or Inverted-U,2.0,39.9592384658,-75.1709232597
Staple or Inverted-U,2.0,39.9592653461,-75.1710585465
Converted Parking Meter,2.0,39.9592815856,-75.1711446716
Staple or Inverted-U,2.0,39.9592881587,-75.1712249675
Staple or Inverted-U,6.0,39.9593022107,-75.1713018814
Staple or Inverted-U,6.0,39.9593280311,-75.1714960675
Staple or Inverted-U,2.0,39.9593365676,-75.1715577017
Staple or Inverted-U,2.0,39.9593377502,-75.1716103206
Converted Parking Meter,2.0,39.9593464963,-75.1716812411
Converted Parking Meter,2.0,39.9592349645,-75.171704061
Converted Parking Meter,2.0,39.9591138697,-75.1708242111
Converted Parking Meter,2.0,39.9590230036,-75.170387762
Converted Parking Meter,2.0,39.9588953553,-75.1704359781
Converted Parking Meter,2.0,39.9590223389,-75.170146152
Converted Parking Meter,2.0,39.9589982718,-75.1699240192
Converted Parking Meter,2.0,39.9588081668,-75.1697391695
Converted Parking Meter,2.0,39.9589631454,-75.1696341525
Converted Parking Meter,2.0,39.9589233935,-75.169350658
Converted Parking Meter,2.0,39.958893726,-75.1690915628
Staple or Inverted-U,6.0,39.9579161704,-75.169085329
Staple or Inverted-U,6.0,39.9575695259,-75.1691480617
Converted Parking Meter,2.0,39.9574565587,-75.1721820092
Converted Parking Meter,2.0,39.957430688,-75.171879405
Converted Parking Meter,2.0,39.9574235928,-75.1715636988
Converted Parking Meter,2.0,39.9575242228,-75.1713740104
Staple or Inverted-U,2.0,39.9574599276,-75.1712711258
Staple or Inverted-U,4.0,39.9576665803,-75.1713438257
Staple or Inverted-U,2.0,39.9530282798,-75.1497970108
Staple or Inverted-U,2.0,39.9529103475,-75.1498079221
Staple or Inverted-U,2.0,39.9563972472,-75.1684718081
Staple or Inverted-U,2.0,39.9564958939,-75.1684061043
Staple or Inverted-U,2.0,39.9561721486,-75.1680033074
Staple or Inverted-U,2.0,39.9492918091,-75.150859951
Staple or Inverted-U,2.0,39.948970711,-75.1508722134
Converted Parking Meter,1.0,39.9479263628,-75.1509697322
Converted Parking Meter,1.0,39.9478249963,-75.151004728
Staple or Inverted-U,2.0,39.9497467662,-75.149055003
Staple or Inverted-U,2.0,39.9499869508,-75.1489419258
Staple or Inverted-U,2.0,39.9499916792,-75.1489805453
Staple or Inverted-U,2.0,39.95121513,-75.1487191005
Converted Parking Meter,1.0,39.952237598,-75.1484366525
Converted Parking Meter,1.0,39.9520459431,-75.148456733
Staple or Inverted-U,2.0,39.95290498,-75.148459429
Staple or Inverted-U,2.0,39.9528555022,-75.1484751219
Converted Parking Meter,1.0,39.9514392357,-75.1470530902
Staple or Inverted-U,2.0,39.950442654,-75.1455455178
Staple or Inverted-U,2.0,39.9506178009,-75.1455198821
Staple or Inverted-U,2.0,39.9506791712,-75.1455288833
Staple or Inverted-U,0.0,39.9506034747,-75.1456394542
Staple or Inverted-U,0.0,39.9505296551,-75.1456693868
Staple or Inverted-U,2.0,39.9508582094,-75.1455747089
Converted Parking Meter,2.0,39.951004023,-75.1454607064
Staple or Inverted-U,2.0,39.9514352723,-75.1454934623
Staple or Inverted-U,2.0,39.9514889082,-75.1453401212
Converted Parking Meter,2.0,39.9522924346,-75.1451518888
Converted Parking Meter,2.0,39.9523825878,-75.1451533801
Converted Parking Meter,2.0,39.9527415243,-75.1451973434
Converted Parking Meter,2.0,39.9533981125,-75.1450652472
Staple or Inverted-U,2.0,39.9533800565,-75.1449183778
Staple or Inverted-U,2.0,39.9537802168,-75.1449904799
Staple or Inverted-U,4.0,39.9553843641,-75.1704796024
Converted Parking Meter,2.0,39.9553159232,-75.1699803717
Staple or Inverted-U,2.0,39.955296063,-75.1697333092
Staple or Inverted-U,2.0,39.955243999,-75.1693263887
Staple or Inverted-U,2.0,39.9552364499,-75.1692027678
Converted Parking Meter,2.0,39.9552099852,-75.16908606
Converted Parking Meter,2.0,39.9552028536,-75.1689810095
Staple or Inverted-U,2.0,39.9551738818,-75.1687528788
Converted Parking Meter,2.0,39.9551169109,-75.1683399515
Converted Parking Meter,2.0,39.9548155744,-75.1695687934
Staple or Inverted-U,2.0,39.9526150315,-75.1658547204
Staple or Inverted-U,2.0,39.9526514222,-75.1662002657
Staple or Inverted-U,2.0,39.9527095159,-75.166662696
Wave,3.0,39.952761868,-75.1670819787
Wave,3.0,39.9527783893,-75.167180474
Wave,3.0,39.9527953286,-75.1672975389
Wave,3.0,39.9527930729,-75.167409138
Staple or Inverted-U,2.0,39.9528195392,-75.1675258409
Converted Parking Meter,2.0,39.9528270902,-75.1676494584
Staple or Inverted-U,2.0,39.9528443077,-75.167778903
Staple or Inverted-U,2.0,39.9528660104,-75.1678957872
Converted Parking Meter,2.0,39.9528826703,-75.1680004719
Staple or Inverted-U,2.0,39.9528899421,-75.168111709
Staple or Inverted-U,2.0,39.9529021164,-75.1682289554
Staple or Inverted-U,2.0,39.952913594,-75.1683152528
Staple or Inverted-U,2.0,39.9528582393,-75.1683978939
Staple or Inverted-U,2.0,39.9529652437,-75.1687035877
Converted Parking Meter,2.0,39.9530572016,-75.1694001541
Staple or Inverted-U,2.0,39.9530641936,-75.1694990122
Converted Parking Meter,2.0,39.953075531,-75.1695791197
Converted Parking Meter,2.0,39.9530865908,-75.1696468465
Converted Parking Meter,2.0,39.9531519395,-75.1702205206
Staple or Inverted-U,2.0,39.9532426617,-75.1708032212
Converted Parking Meter,2.0,39.9532636492,-75.1709944756
Staple or Inverted-U,2.0,39.9532870185,-75.1711856419
Staple or Inverted-U,2.0,39.9532980765,-75.1712533693
Staple or Inverted-U,2.0,39.9533862599,-75.1713584399
Converted Parking Meter,2.0,39.9533752716,-75.1712938065
Converted Parking Meter,2.0,39.9533628222,-75.1711641792
Converted Parking Meter,2.0,39.9533429625,-75.1710133394
Converted Parking Meter,2.0,39.953309525,-75.1706924566
Converted Parking Meter,2.0,39.9532930068,-75.1705939597
Staple or Inverted-U,2.0,39.9533165552,-75.1700509822
Staple or Inverted-U,2.0,39.9534089625,-75.1700257899
Converted Parking Meter,2.0,39.9533137013,-75.1699240886
Converted Parking Meter,2.0,39.9534656554,-75.169896635
Converted Parking Meter,2.0,39.9536293804,-75.1698625397
Converted Parking Meter,2.0,39.9537741901,-75.1698353559
Converted Parking Meter,2.0,39.9538927972,-75.1698091682
Converted Parking Meter,2.0,39.954018621,-75.1697858054
Staple or Inverted-U,2.0,39.9531870727,-75.1696996737
Converted Parking Meter,2.0,39.9531622248,-75.1695488345
Converted Parking Meter,2.0,39.9530962451,-75.1689473058
Converted Parking Meter,2.0,39.9530779844,-75.1687714355
Staple or Inverted-U,2.0,39.9531164991,-75.1683641851
Converted Parking Meter,2.0,39.9533965887,-75.168310177
Staple or Inverted-U,2.0,39.9536905517,-75.1682370543
Staple or Inverted-U,2.0,39.9529600013,-75.1679798339
Staple or Inverted-U,2.0,39.9529420874,-75.1678194388
Converted Parking Meter,2.0,39.9529320858,-75.1676928176
Staple or Inverted-U,4.0,39.9529055622,-75.1674676997
Staple or Inverted-U,2.0,39.9528767267,-75.1672457688
Staple or Inverted-U,2.0,39.9528063203,-75.1666599017
Staple or Inverted-U,2.0,39.9527823858,-75.1664439795
Staple or Inverted-U,2.0,39.9527585903,-75.1662342477
Staple or Inverted-U,2.0,39.9495982172,-75.1728502785
Staple or Inverted-U,2.0,39.9491334495,-75.1729608285
Staple or Inverted-U,2.0,39.9488500204,-75.1728662662
Staple or Inverted-U,2.0,39.9486317155,-75.1712143371
Staple or Inverted-U,2.0,39.9479706919,-75.1710783607
Staple or Inverted-U,2.0,39.9462478126,-75.1650730411
Staple or Inverted-U,2.0,39.9465378464,-75.1650372292
Staple or Inverted-U,2.0,39.9467183132,-75.1650055851
Staple or Inverted-U,2.0,39.9469665887,-75.1650209193
Staple or Inverted-U,2.0,39.9469832512,-75.1651255955
Staple or Inverted-U,2.0,39.9470042593,-75.1652115212
Staple or Inverted-U,2.0,39.9470158786,-75.1653039991
Staple or Inverted-U,2.0,39.9470175522,-75.1653782714
Staple or Inverted-U,2.0,39.9470489476,-75.1665602609
Staple or Inverted-U,2.0,39.9469872968,-75.1665749937
Staple or Inverted-U,2.0,39.94693041,-75.1665895465
Staple or Inverted-U,2.0,39.946854189,-75.1665924443
Staple or Inverted-U,2.0,39.9464349064,-75.1682995137
Staple or Inverted-U,4.0,39.9472521589,-75.1673268707
Staple or Inverted-U,2.0,39.9472932713,-75.1668235388
Staple or Inverted-U,2.0,39.9473752944,-75.1675018374
Staple or Inverted-U,2.0,39.9475879001,-75.1692158889
Staple or Inverted-U,4.0,39.9456411037,-75.1653377071
Staple or Inverted-U,2.0,39.9442772441,-75.1654855954
Converted Parking Meter,2.0,39.9445369865,-75.1719427123
Staple or Inverted-U,2.0,39.944611121,-75.1726956219
Converted Parking Meter,2.0,39.9446237086,-75.1728314223
Staple or Inverted-U,2.0,39.9446459624,-75.1729730498
Converted Parking Meter,2.0,39.9446687714,-75.1731394356
Staple or Inverted-U,2.0,39.9445730416,-75.1733350932
Staple or Inverted-U,2.0,39.9443518218,-75.1715532948
Converted Parking Meter,2.0,39.9444103065,-75.1711856046
Converted Parking Meter,2.0,39.9443470494,-75.1707048403
Converted Parking Meter,2.0,39.9442650585,-75.1708752023
Converted Parking Meter,2.0,39.9443283042,-75.1705073313
Converted Parking Meter,2.0,39.9442296562,-75.170573019
Staple or Inverted-U,2.0,39.9443262163,-75.1704144933
Converted Parking Meter,2.0,39.9442177627,-75.1704681661
Staple or Inverted-U,4.0,39.9527378722,-75.1660682703
School Yard,39.0,39.9532140319,-75.1661461883
School Yard,36.0,39.9531910028,-75.1659704997
School Yard,36.0,39.9531708444,-75.1658163854
Converted Parking Meter,2.0,39.9511748158,-75.1661571378
Converted Parking Meter,2.0,39.9511847851,-75.166282208
Staple or Inverted-U,2.0,39.9512018299,-75.1664039126
Converted Parking Meter,2.0,39.9512137619,-75.166510323
Staple or Inverted-U,2.0,39.9512369296,-75.1666921957
Converted Parking Meter,2.0,39.9512741033,-75.1669138052
Staple or Inverted-U,2.0,39.9512946499,-75.1670322793
