RACK_TYPE,BIKE_COUNT,LAT,LNG
Converted Parking Meter,2.0,39.9539337422,-75.158684957
Converted Parking Meter,2.0,39.9539652506,-75.1590244976
Converted Parking Meter,2.0,39.9539029311,-75.1583763661
Converted Parking Meter,2.0,39.9538695936,-75.1581669971
Converted Parking Meter,2.0,39.9538415793,-75.1579822068
Converted Parking Meter,1.0,39.9539559186,-75.1577672029
Converted Parking Meter,2.0,39.954221572,-75.1577075053
Converted Parking Meter,0.0,39.9547865042,-75.1575992162
Converted Parking Meter,2.0,39.9548908881,-75.1575766472
Converted Parking Meter,2.0,39.9551042799,-75.1575251368
Converted Parking Meter,2.0,39.9552939921,-75.1574807255
Converted Parking Meter,2.0,39.9559344454,-75.1573385727
Converted Parking Meter,2.0,39.9560955749,-75.157295251
Converted Parking Meter,2.0,39.9542200157,-75.1617562202
Converted Parking Meter,2.0,39.9541996412,-75.1615928205
Converted Parking Meter,2.0,39.9541818581,-75.1614386145
Staple or Inverted-U,2.0,39.9540820778,-75.1607144652
Converted Parking Meter,2.0,39.954054772,-75.1604553015
Staple or Inverted-U,2.0,39.953992772,-75.1598737551
Converted Parking Meter,2.0,39.9538898659,-75.1591172039
Converted Parking Meter,2.0,39.9539598275,-75.1595760874
Converted Parking Meter,2.0,39.9538732032,-75.1589071988
Converted Parking Meter,2.0,39.9538539432,-75.15879332
Staple or Inverted-U,16.0,39.9538147846,-75.1587483493
Staple or Inverted-U,8.0,39.95385274,-75.1590566674
Converted Parking Meter,2.0,39.9538251609,-75.1585744849
Converted Parking Meter,2.0,39.9537881132,-75.1583064021
Converted Parking Meter,2.0,39.9537161883,-75.157760861
Staple or Inverted-U,2.0,39.9536986798,-75.1576190378
Staple or Inverted-U,2.0,39.9536841127,-75.1575018828
Converted Parking Meter,2.0,39.9536717167,-75.1573753515
Converted Parking Meter,2.0,39.9535971964,-75.15682062
Converted Parking Meter,2.0,39.9535819279,-75.156672515
Converted Parking Meter,2.0,39.9534974587,-75.1559942585
Converted Parking Meter,0.0,39.9534856219,-75.1558924879
Staple or Inverted-U,2.0,39.953476656,-75.1558122913
Converted Parking Meter,2.0,39.953441774,-75.1555348361
Staple or Inverted-U,2.0,39.9534304968,-75.1554578257
Converted Parking Meter,2.0,39.9534216007,-75.1553807244
Staple or Inverted-U,2.0,39.9535395528,-75.156379857
Converted Parking Meter,2.0,39.9533878377,-75.1551527886
Staple or Inverted-U,2.0,39.9533494168,-75.1548243575
Converted Parking Meter,2.0,39.9532715916,-75.1542294867
Converted Parking Meter,2.0,39.9532511364,-75.1540629964
Converted Parking Meter,2.0,39.953193132,-75.1536067634
Staple or Inverted-U,0.0,39.9531541112,-75.1532520265
Staple or Inverted-U,6.0,39.9538663661,-75.1530172621
Staple or Inverted-U,8.0,39.9547643401,-75.1530882617
Converted Parking Meter,2.0,39.9550337744,-75.1530903539
Converted Parking Meter,2.0,39.9550481358,-75.1531982246
Converted Parking Meter,2.0,39.9551000468,-75.1535958471
Staple or Inverted-U,2.0,39.9551746537,-75.1541536824
Staple or Inverted-U,2.0,39.9551459316,-75.1539379403
Staple or Inverted-U,4.0,39.9552102368,-75.1546727403
Converted Parking Meter,2.0,39.9552900207,-75.1553542905
Converted Parking Meter,2.0,39.9553181092,-75.1555421789
Converted Parking Meter,2.0,39.9553413643,-75.1557271541
Converted Parking Meter,2.0,39.955407695,-75.1562357462
Staple or Inverted-U,2.0,39.9554312289,-75.1564331028
Converted Parking Meter,2.0,39.955488519,-75.1569637255
Converted Parking Meter,2.0,39.9555314522,-75.1572811542
Converted Parking Meter,2.0,39.9555089001,-75.1571271281
Converted Parking Meter,2.0,39.9556313204,-75.1581137317
Converted Parking Meter,2.0,39.9556636044,-75.1583820034
Converted Parking Meter,2.0,39.9556980601,-75.1586408999
Staple or Inverted-U,6.0,39.9532678219,-75.16218744
Staple or Inverted-U,2.0,39.9522111498,-75.1624785882
Staple or Inverted-U,2.0,39.9521965179,-75.1623583397
School Yard,14.0,39.9518409722,-75.1616036851
School Yard,8.0,39.958916186,-75.1732380592
Staple or Inverted-U,2.0,39.9591241875,-75.1751585305
Staple or Inverted-U,2.0,39.959156627,-75.1753341099
Staple or Inverted-U,2.0,39.9589175983,-75.1755947349
Staple or Inverted-U,2.0,39.9589751972,-75.176742073
Staple or Inverted-U,2.0,39.9580301635,-75.1772604189
Staple or Inverted-U,8.0,39.9579368483,-75.1772477201
Staple or Inverted-U,8.0,39.9581211059,-75.1776857686
Staple or Inverted-U,1.0,39.9576920653,-75.1747892242
Staple or Inverted-U,2.0,39.9575928444,-75.1740332039
Staple or Inverted-U,2.0,39.9569962435,-75.1743379357
Staple or Inverted-U,2.0,39.9574682643,-75.1742453453
Staple or Inverted-U,2.0,39.9572552028,-75.1743004135
Staple or Inverted-U,2.0,39.9575146426,-75.1742886625
Staple or Inverted-U,0.0,39.9574475803,-75.1743012728
Staple or Inverted-U,2.0,39.9573497369,-75.1743232796
Staple or Inverted-U,0.0,39.9568220616,-75.1744327395
Staple or Inverted-U,2.0,39.9569574311,-75.1744097963
Staple or Inverted-U,2.0,39.9561919966,-75.1746053178
Staple or Inverted-U,2.0,39.9561199481,-75.1730511321
Staple or Inverted-U,4.0,39.9563366199,-75.1726498687
Staple or Inverted-U,2.0,39.9560601383,-75.1727158374
Staple or Inverted-U,2.0,39.9556661316,-75.1728118687
Staple or Inverted-U,2.0,39.9555224566,-75.1719525765
Converted Parking Meter,2.0,39.9555756925,-75.1722786597
Staple or Inverted-U,6.0,39.9555487938,-75.1725485074
