NAME,ADDRESS,OPERATOR,ACCEPT_SNA,ACCEPT_FMN,DISTRIBUTE,ONLY_REDEE,EBT_MACHIN,DAY_TIME,ZIP_CODE,LON,LAT,X,Y
Shar-Nels Farmstand,"21st & West Susquehanna Ave, 19132",Nelson Jones,Yes,Yes,No,No,Yes,"Th,Fri 10-5; Sat 9-",19132,-75.1676354,39.9877612,2692003.823,248975.1432
South and Passyunk,"South St and Passyunk Ave, 19147",Farm to City,Yes,Yes,No,No,Yes*,Tu 2:30-7,19147,-75.15040947,39.94178381,2697321.592,232375.2572
Suburban Station,"16th St and JFK, 19103",Farm to City,Yes,Yes,No,No,Yes*,Th 12-6:30,19103,-75.16467211,39.96286039,2693099.328,239932.399
The Porch at 30th St Station,"Between south side of 30th St Station & Market St, 19104",Farm to City,Yes,Yes,No,No,Yes,W 11-2,19104,-75.18333683,39.95482808,2687954.61,236855.0166
The Schuylkill Center Farmers Mar,"Ridge Ave & Port Royal Rd, at the U-haul parking lot, 19","Urban Girls Produce, Schuyl",No,Yes,No,No,No,T 2-6,19128,-75.23818438,40.05978043,2671497.361,274629.8148
University Square,"36th St and Walnut St, 19104",Farm to City,Yes,Yes,No,No,Yes*,W 10-3,19104,-75.19478911,39.95315132,2684763.025,236151.3694
Urban Tree Harvest Farmstand,"53rd, between Wyalusing & Poplar Sts, 19131",Urban Tree Connection/Neigh,Yes,Yes,No,No,Yes,Sat 10-2,19131,-75.22705674,39.97032746,2675541.692,242145.7143
Wadsworth,"E. Wadsworth Ave & Bayard St, 19150",John King,Yes,Yes,No,No,Yes*,F 10-2,19150,-75.17311397,40.0799715,2689489.304,282506.6569
Walnut Hill Farmstand,"4610 Market St, 19139",Enterprise Center/FTC,Yes,Yes,No,No,Yes,Tu & Fri 3:30-6:30,19139,-75.21314591,39.95854322,2679562.354,237966.3785
Weaver's Way Community Programs F,"8424 Germantown Ave, 19118",Weaver's Way,No,Yes,No,No,No,Tu 3-6,19118,-75.2052986,40.07536294,2680535.222,280567.4108
Weaver's Way Farmstand- Mt. Airy,"Carpenter Lane and Greene St, 19119 (in front of High Po",Weaver's Way/FTC,No,Yes,No,No,Yes,Th 3-7,19119,-75.19591535,40.04638662,2683465.262,270092.0225
West Oak Lane,"72nd Ave and Ogontz Ave, 19138",The Food Trust,Yes,Yes,Yes,No,Yes,Tu 2-6,19138,-75.153516,40.06429505,2695138.935,276959.0582
