FID,DC_NUM,DC_KEY,LOCATION_B,THEFT_DATE,THEFT_YEAR,DC_DIST,STOLEN_VAL,THEFT_HOUR,UCR,X,Y,GlobalID,x2,y2
646,066127,201426066127,2500 BLOCK ARAMINGO AV,12/16/2014 12:00:00 AM,2014,26,250,12,615,-75.11978312,39.97646767,677aaf2a-adad-4677-978e-23b5b84f9261,-119.63812998167,45.8160322317986
647,059269,201403059269,1700 BLOCK S 04TH ST,10/5/2014 12:00:00 AM,2014,03,200,0,615,-75.15258768,39.92659835,92c94a50-5f81-4427-8517-23647b4cd632,-119.637899981366,45.7938902041215
648,066176,201426066176,1700 BLOCK N 10TH ST,12/16/2014 12:00:00 AM,2014,26,150,17,625,-75.15094666,39.97778708,c9f5c69e-0a3d-4fd0-a00a-354e21fc14db,-119.6505203114,45.8121713566328
649,059356,201403059356,2000 BLOCK S 11TH ST,10/5/2014 12:00:00 AM,2014,03,200,12,615,-75.1641523,39.92476567,208c50c2-576d-4fe6-8ee9-caa8e013a1da,-119.641895444671,45.7916386745381
650,067357,201426067357,900 BLOCK N 05TH ST,12/22/2014 12:00:00 AM,2014,26,650,18,615,-75.14572029,39.9670442,84ff4531-e21c-40d8-a450-8705049ddc2a,-119.645716704757,45.8091071881224
651,059588,201403059588,2600 BLOCK S PERCY ST,10/6/2014 12:00:00 AM,2014,03,130,15,625,-75.16346988,39.9162419,9b6b6939-da55-47f1-8fbc-ea909ebe89b5,-119.639426232886,45.7887284873105
652,100672,201435100672,N 05TH ST / W GRANGE AV,12/7/2014 12:00:00 AM,2014,35,100,17,625,-75.12983274,40.03953534,3777ac48-907d-410c-af71-81e87b248382,-119.658367647269,45.8368964652435
653,059609,201403059609,500 BLOCK S 04TH ST,10/6/2014 12:00:00 AM,2014,03,800,16,615,-75.14913498,39.94209253,e3549634-e344-40e9-9696-0613cc22830e,-119.640575559788,45.7998328040451
654,092368,201439092368,4200 BLOCK HENRY AVE,12/19/2014 12:00:00 AM,2014,39,350,11,615,-75.19340643,40.02135321,53d50a2a-5930-4318-962b-8a4a07223dac,-119.67823128496,45.821647615768
655,059732,201403059732,2100 BLOCK S 10TH ST,10/7/2014 12:00:00 AM,2014,03,1500,3,615,-75.16287377,39.92327251,2a22dddc-8671-424e-a746-f9248381c696,-119.641014930356,45.7912897523511
656,093071,201439093071,5400 BLOCK MORRIS ST,12/22/2014 12:00:00 AM,2014,39,150,15,625,-75.17847737,40.02738614,c37c97dc-dd95-4997-8091-40872f3a862e,-119.67402498124,45.8258510754271
657,059940,201403059940,700 BLOCK S WARNOCK ST,10/7/2014 12:00:00 AM,2014,03,150,18,625,-75.16010019,39.94009306,7e28ddc4-d76d-4887-b7ff-083d07761e36,-119.644296341793,45.7976054725112
658,000054,201503000054,2400 BLOCK S 10TH ST,1/1/2015 12:00:00 AM,2015,03,600,3,615,-75.16375599,39.9192061,6b7ac2dc-3576-4d84-a675-102bceae5179,-119.640303718542,45.7897337168631
659,059975,201403059975,1000 BLOCK SNYDER AVE,10/7/2014 12:00:00 AM,2014,03,600,20,615,-75.16291586,39.92354593,10f5a02c-3f0e-4d6e-ab3c-3f31041ed84e,-119.641101947159,45.7913803023439
660,001809,201503001809,700 BLOCK SIGEL ST,1/9/2015 12:00:00 AM,2015,03,325,15,615,-75.15904867,39.92597742,0470ee25-83fe-45b4-b9b0-6501688f3902,-119.640236498517,45.7927743894463
661,060178,201403060178,500 BLOCK FITZWATER ST,10/8/2014 12:00:00 AM,2014,03,150,16,625,-75.15131756,39.93943182,c505f55f-8a0d-46b2-8407-a6eccd6c06b3,-119.640730460213,45.79859156559
662,000197,201506000197,200 BLOCK S JUNIPER ST,1/2/2015 12:00:00 AM,2015,06,300,11,615,-75.16332553,39.94859268,a5d7744a-5a62-4ee5-9005-1e5bb8ab4ebc,-119.647743562234,45.8001549871018
663,060186,201403060186,1100 BLOCK LOMBARD ST,10/8/2014 12:00:00 AM,2014,03,800,16,615,-75.16039294,39.9440205,fa3a18e0-9866-4f39-9e0d-9aabd60c3702,-119.645426241807,45.7989497676733
